name,components,specification,drug_class,advantages,caution,fdc_type
格列吡嗪二甲双胍片,"格列吡嗪,二甲双胍",格列吡嗪2.5mg/二甲双胍500mg,SU+双胍,强效降糖,低血糖风险高,SU + Met
吡格列酮二甲双胍片,"吡格列酮,二甲双胍",吡格列酮15mg/二甲双胍500mg,TZD+双胍,改善胰岛素抵抗,心衰/骨折风险,TZD + Met
西格列汀二甲双胍片,"西格列汀,二甲双胍",西格列汀50mg/二甲双胍850mg,DPP-4i+双胍,低血糖风险小,肾功需减量,DPP-4i + Met
沙格列汀二甲双胍缓释片,"沙格列汀,二甲双胍",沙格列汀5mg/二甲双胍500mg,DPP-4i+双胍,缓释简化用药,心衰风险警示,DPP-4i + Met
利格列汀二甲双胍片,"利格列汀,二甲双胍",利格列汀2.5mg/二甲双胍850mg,DPP-4i+双胍,肝肾功能不全无需调整,无,DPP-4i + Met
瑞格列汀二甲双胍片,"瑞格列汀,二甲双胍",瑞格列汀50mg/二甲双胍850mg,DPP-4i+双胍,低血糖风险小,肾功不全慎用,DPP-4i + Met
恩格列净二甲双胍片,"恩格列净,二甲双胍",恩格列净5mg/二甲双胍500mg,SGLT2i+双胍,心肾保护+减重,eGFR<20禁用,SGLT2i + Met
达格列净二甲双胍缓释片,"达格列净,二甲双胍",达格列净10mg/二甲双胍1000mg,SGLT2i+双胍,心肾保护+缓释,eGFR<25禁用,SGLT2i + Met
恒格列净二甲双胍缓释片,"恒格列净,二甲双胍",恒格列净5mg/二甲双胍1000mg,SGLT2i+双胍,国产创新药,eGFR<30禁用,SGLT2i + Met
