,SLC2A2,ARG2,CLTRN,PCOLCE2,IAPP,PPP1R1A,GABRA2,OPRD1,CHL1,GLRA1,GLP1R,PDX1,NKX6-1,SLC30A8
GSE41762_GSM1023686,8.574869,8.023577,8.146777,4.102749,13.56778,9.754594,3.617875,6.631021,7.054062,7.389393,8.572278,7.350417,8.135845,12.38862
GSE41762_GSM1023687,7.491169,7.769594,8.239609,4.298744,13.16854,9.312184,3.457813,6.124406,6.435528,6.682335,7.985239,6.839884,7.948913,12.67479
GSE41762_GSM1023688,8.991812,8.282385,9.106578,3.977135,13.74359,9.998775,3.93971,6.323519,8.670146,8.732557,9.132211,7.427222,8.22164,12.92023
GSE41762_GSM1023689,7.886332,7.606654,8.028147,3.952361,13.33783,9.492519,3.841163,6.387283,6.341648,6.356731,8.215004,6.756392,7.648226,12.2792
GSE41762_GSM1023690,5.565454,7.152921,8.164789,4.22468,12.03476,8.465054,3.592413,6.023479,5.218137,6.510279,7.239867,6.278184,6.523778,11.85563
GSE41762_GSM1023691,7.242462,8.456158,8.611765,4.34532,13.15919,9.421682,4.023437,6.490916,5.902917,6.186619,7.857549,7.0979,8.152912,10.31427
GSE41762_GSM1023692,8.272493,8.044617,8.996008,4.114898,13.49896,9.742847,4.509569,6.546005,8.079483,7.618386,8.125038,7.037084,7.934328,12.62217
GSE41762_GSM1023693,6.463214,7.165621,7.571939,5.609708,12.99068,8.011041,3.137161,6.409029,6.035623,4.626985,7.314524,6.891439,7.832147,11.70884
GSE41762_GSM1023694,7.457799,7.200727,8.252494,3.938325,12.10352,8.437568,3.319684,6.49767,6.48416,6.994455,7.926405,6.449041,7.359311,11.85156
GSE41762_GSM1023695,7.401191,7.837254,8.605562,4.16588,12.74807,8.818302,3.730037,6.169761,6.261209,6.394436,8.057651,6.949217,7.39556,11.82501
GSE41762_GSM1023696,9.053629,8.224126,9.150909,3.917565,13.3625,9.926135,4.448268,6.527894,7.509865,8.247705,8.409458,7.191958,7.8078,12.60532
GSE41762_GSM1023697,8.467161,8.269007,9.179794,4.041109,13.67569,10.29763,4.017144,6.714468,6.83342,7.292099,8.496839,7.331715,8.289651,12.92905
GSE41762_GSM1023698,8.714026,8.047683,9.120159,4.832187,13.31523,9.64406,4.559969,6.828236,6.695876,6.620201,8.462372,7.27289,8.173019,12.07484
GSE41762_GSM1023699,8.990296,8.396497,8.652328,4.167686,13.79346,9.491432,3.817046,6.519504,7.666535,7.514055,8.929878,7.326819,8.050752,12.57188
GSE41762_GSM1023700,6.159406,6.751417,7.301332,3.999272,12.78657,7.683955,3.777206,6.077519,5.656345,5.266939,6.710269,6.139011,6.715517,10.77301
GSE41762_GSM1023701,7.179874,7.237175,8.048451,4.129595,13.24255,8.475572,3.255205,6.298325,5.980678,5.288921,7.572433,6.646714,7.46045,12.35463
GSE41762_GSM1023702,7.44929,7.732285,8.716681,4.308329,12.77491,8.504096,3.413687,6.30277,5.700777,5.98656,7.266209,6.445808,7.187144,11.92325
GSE41762_GSM1023703,7.17055463,7.367358433,8.066928708,4.642394098,13.07189077,9.850999878,3.176902587,6.289153943,5.144617596,6.894081152,8.206645148,6.979911673,7.591358271,12.42760559
GSE41762_GSM1023704,7.479675281,7.652972005,7.528794885,3.617920873,12.66233874,9.312311721,3.878240149,6.460239443,6.721886751,7.591483103,8.14323451,7.351007317,7.689239754,11.8525099
GSE41762_GSM1023705,7.425075494,8.749374517,9.166049967,3.884031657,13.21296974,9.891673672,4.37534518,6.985212948,7.694126423,7.307873175,8.1800038,7.432847406,8.378411644,12.11407615
GSE41762_GSM1023706,5.741386271,8.016673373,7.557705792,4.47430103,12.26358646,8.868852147,3.527402696,6.521277619,5.582621414,5.354159968,7.128389419,6.691788813,7.762209598,11.56078261
GSE41762_GSM1023707,7.661788022,8.021131215,8.061909118,3.934054131,13.50748694,9.862436354,4.545063961,6.777868211,7.089253304,6.884620216,8.032419185,7.215204676,7.829854127,11.87310941
